_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4953178741409192,Nmjqa5UAU,4,【#日本5日上午开始第二轮核污染水排海#】据日本TBS电视台网站4日报道，东京电力公司计划于当地时间5日10时30分（北京时间5日9时30分）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量相当，预计本 ...全文,2023-10-04,24,9,微博网页版,1683472727,https://m.weibo.cn/detail/4953178741409192
4953177654822353,NmjopkevT,3,【#日本明日开始第二轮核污染水排海#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量相当 ...全文,2023-10-04,3,0,微博视频号,1879476167,https://m.weibo.cn/detail/4953177654822353
4953177045602750,NmjnqnvwW,0,【#日本5日上午开始第二轮核污染水排海#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,0,0,HUAWEI P40 Pro 5G,1752863270,https://m.weibo.cn/detail/4953177045602750
4953174509356771,NmjjkDg7F,0,【#日本第二轮核污水排海5日上午开始#，预计持续17天】#日本第二轮核污水排海预计持续17天#据日本TBS电视台网站4日报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划 ...全文,2023-10-04,0,0,微博网页版,1625232640,https://m.weibo.cn/detail/4953174509356771
4953173964359838,NmjisiibY,72,【#日本第二轮核污水排海5日上午开始#，预计持续17天】#日本第二轮核污水排海预计持续17天#据日本TBS电视台网站4日报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划 ...全文,2023-10-04,374,51,微博网页版,5044281310,https://m.weibo.cn/detail/4953173964359838
4953171945850179,NmjfcoxTJ,0,【#日本明天上午开始第二轮核污染水排海#】据日本TBS电视台网站10月4日报道，东京电力公司计划于当地时间10月5日上午10点半（北京时间10月5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排 ...全文,2023-10-04,2,6,微博网页版,1960785875,https://m.weibo.cn/detail/4953171945850179
4953171866946503,Nmjf4t96n,2,#日本开始准备核污染水第二轮排海# . #男子在纽约街头因多看几眼被当街捅死#   外面的世界很精彩！！！😱😱😱😱#信公知变白痴# ,2023-10-04,11,2,nova8Pro我由我掌镜,3282659472,https://m.weibo.cn/detail/4953171866946503
4953170549934116,NmjcWFGjG,1,【#日本明日上午开始第二轮核污染水排海#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,9,1,,6115560351,https://m.weibo.cn/detail/4953170549934116
4953170410997150,NmjcJ4bp4,0,#日本5日上午开始第二轮核污水排海#最新消息：据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排 ...全文,2023-10-04,1,0,微博发布平台专业版,7761805397,https://m.weibo.cn/detail/4953170410997150
4953170410211637,NmjcJ0T3v,0,#日本5日上午开始第二轮核污水排海#最新消息：据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排 ...全文,2023-10-04,0,0,微博发布平台专业版,7750822151,https://m.weibo.cn/detail/4953170410211637
